ids	labels	parents
sustainable development	legal aid	
awareness	legal aid	
awareness	women networks	
entrepreunership	women networks	
sustainable development	women networks	
sustainable development	women networks	
capacity building	women networks	
Justice Center for Legal Aid 	sustainable development	legal aid
Tamkeen for Legal Aid and Human Rights	sustainable development	legal aid
ARDD (Arab Renaissance for Democracy & Development)/ Legal Aid Organization 	sustainable development	legal aid
Jordan Sisterhood is Global Institute (SIGI)	awareness	legal aid
Arab Women's Legal Network	awareness	legal aid
Women Helping Women Network-Jordan	awareness	women networks
The Jordan Forum for Business and Professional Women	entrepreunership	women networks
The Jordanian National Commission for Women (JNCW)	sustainable development	women networks
Al Nahda Women Network	sustainable development	women networks
Jordanian Women Union	awareness	women networks
